央视频道,#genre#
黑龙江卫视,http://101.71.255.229:6610/zjhs/2/10020/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
吉林卫视,http://101.71.255.229:6610/zjhs/2/10096/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://stream4.jlntv.cn/test2/sd/live.m3u8#http://ivi.bupt.edu.cn/hls/jltv.m3u8
江西卫视,http://101.71.255.229:6610/zjhs/2/10097/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
四川卫视,http://101.71.255.229:6610/zjhs/2/10099/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
重庆卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
东南卫视,http://101.71.255.229:6610/zjhs/2/10093/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
海南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
贵州卫视,http://101.71.255.229:6610/zjhs/2/10094/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
甘肃卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8#http://60.255.149.210/tslive/c214_scc_20190618_5pkk3m0j_original_r10/c214_scc_20190618_5pkk3m0j_original_r10.m3u8&
青海卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
山西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8#http://60.255.149.210/tslive/c214_scc_20190618_wrbc04ks_original_r10/c214_scc_20190618_wrbc04ks_original_r10.m3u8&
河南卫视,http://101.71.255.229:6610/zjhs/2/10095/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
云南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8
陕西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
宁夏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
内蒙卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8
新疆卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
中国教育,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225905/1.m3u8
电影0台,http://112.50.243.8/PLTV/88888888/224/3221226736/1.m3u8
电影1台,http://112.50.243.8/PLTV/88888888/224/3221225881/1.m3u8
电影2台,http://112.50.243.8/PLTV/88888888/224/3221226708/1.m3u8
电影3台,http://112.50.243.8/PLTV/88888888/224/3221226712/1.m3u8
电视剧4台,http://112.50.243.8/PLTV/88888888/224/3221225893/1.m3u8
电视剧5台,http://112.50.243.8/PLTV/88888888/224/3221226692/1.m3u8
电视剧6台,http://112.50.243.8/PLTV/88888888/224/3221226754/1.m3u8
动画片7台,http://112.50.243.8/PLTV/88888888/224/3221226732/1.m3u8
动画片8台,http://112.50.243.8/PLTV/88888888/224/3221226741/1.m3u8
动画片9台,http://112.50.243.8/PLTV/88888888/224/3221226743/1.m3u8
欢乐剧场,http://112.50.243.8/PLTV/88888888/224/3221226729/1.m3u8
CHC高清电影,http://192.200.120.82:8080/ZZ_chcgaoqing/ZZ_chcgaoqing.m3u8
CHC家庭影院,http://pili-live-hls.fssh.tianma3600.com/fssh/fsds.m3u8
CHC动作电影,http://192.154.103.75:8080/ZZ_chZZongzuo/ZZ_chZZongzuo.m3u8
4K节目,#genre#
CCTV-4K超清,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
纯享4K频道,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
广东综艺4K,http://nclive.grtn.cn:80/4K/sd/live.m3u8
《新大头儿子和小头爸爸3：俄罗斯奇遇记》,http://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/e2579451cd694bdf8a6c19b860ece19e/main.m3u8
《不朽的马克思》上集,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/e80dd34664d841fe834e2a4f816d8862/main.m3u8
《不朽的马克思》下集,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/38eed4efca5440c48aa5c7a82ed0141a/main.m3u8
传承.江湖,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/73e2ecc85c5b43b3a2ea4fc04bb9f8ef/main.m3u8
传承.绝技,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d915dd710c9a43ba9a69c2a3b2b0ca27/main.m3u8
传承.德行,http://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/cc6126d1610c4b9ab49a69b29d8d39bf/main.m3u8
传承.师徒,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/0bedf421f3aa4beb9d78836d945d1b48/main.m3u8
传承.心传,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d9dc0b0891d3497880d9bcfe68d0fa17/main.m3u8
传承.流变,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0a081290d5924f969882a08b2fe11055/main.m3u8
传承.家园,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/8a7c6689480d42eeb6c185d2af8339f2/main.m3u8
航拍中国.海南,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/ebc22b913d104ccfb153dc09850e0486/main.m3u8
航拍中国.江西,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/main.m3u8
航拍中国.上海,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/3e5279df88b44cb7933157330f967490/main.m3u8
航拍中国.黑龙江,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/1199803974fe4361980f8e764d94c607/main.m3u8
航拍中国.陕西,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/c698d3595f504fd09044e0b6615040f0/main.m3u8
航拍中国.新疆,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/611dfd08172c4e3082289d6d33db4df4/main.m3u8
航拍中国.四川,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/9e9b2ec70cca4cdc917672cb1e44bb01/main.m3u8
航拍中国.广东,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/d907ef756138493e9fe5b35b4ab69642/main.m3u8
航拍中国.甘肃,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/1d627277720b4c4698ce58d4d2edb3b5/main.m3u8
航拍中国.广东,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/d907ef756138493e9fe5b35b4ab69642/main.m3u8
航拍中国.浙江,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/cc46d0edb5974d9bb744a009edc9c01a/main.m3u8
航拍中国.内蒙古,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/main.m3u8
航拍中国.福建,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/8ba642c716404cf59a87f20ef9fc54a3/main.m3u8
航拍中国.江苏,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/b1e17e11d274467db1ace20e1534a953/main.m3u8
尖峰岭系列 林窗,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/19ce75d817bc4e68ae179f5b08e4e779/main.m3u8
尖峰岭系列 植物活化石,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/73c73940e0364e8491a07961c6913974/main.m3u8
尖峰岭系列 绞杀榕,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/3f594b61c83c42449080e22213fc2514/main.m3u8
尖峰岭系列 海南坡鹿,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/main.m3u8
涞滩镇——众志成城,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2c3f23daa29a4b95bca290e893e1e579/main.m3u8
宝顶镇——匠心守艺,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/0319d0e0fac045c1ba667545c6a68e3e/main.m3u8
松溉镇——念乡情 报乡恩,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4e5f81b109534964af169f01cccc87bd/main.m3u8
龙兴镇——纾困解难,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/3b3bdb0557f44f7396bf0bc478b4938a/main.m3u8
广州西关历史文化街区——千年商都 务实奋进,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/3e7f6bc2304e41daa9a83cb76042b565/main.m3u8
屯溪老街——徽商故里 从商有道,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/68d2f2a2417640afbc6d76d2947e1a12/main.m3u8
都江堰西街——和为贵,http://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/d9e9b17b8420453ba0310df0f81c68e8/main.m3u8
绍兴书圣故里——正笔正心正天下,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/47b9a590d171443cac38a39cf3d05654/main.m3u8
高淳老街的“高”与“淳”,http://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/c52ccf0d654e4d28bc0c2efb70e80d90/main.m3u8
巴东野三关农亭街——通时达变 生生不息,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/eb91ceab00d8411895f0a37e5b5145df/main.m3u8
开封书店街——开卷有益 启智明理,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/24349f0323fd4cc484331fae594ecd84/main.m3u8
佛山祖庙历史文化街区——男儿当自强,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/b4cdd77bdd944732a720e3e6b485b79e/main.m3u8
济南泉城老街——清泉垂柳 君子之风,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/cf710f0aeeab4933a52b57fdd73b0abb/main.m3u8
苏州平江路——状元街 义当先,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/03ddeb487b4f4fcc970c8c51d67f8cc3/main.m3u8
正定开元寺街区—燕赵老街事 千古忠义情,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/30b1ed4c074847bea69b8d922319a02f/main.m3u8
第1集 弄潮儿向涛头立,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/124c49d55076451fa2cb3acbcb85a48a/main.m3u8
第2集 在希望的田野上,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/162be62a3f0549d0b7c14a9197ddfb8b/main.m3u8
第3集 打开国门搞建设,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/24f7dab189d046a89919b6a923c26028/main.m3u8
第4集 到世界市场的大海中去,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/3cbfbb42cc26444caa2f6ec70fcf913e/main.m3u8
第5集 血，总是热的,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/8087109e010d4325ba7242776232296e/main.m3u8
第6集 爱拼才会赢,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/22255182c296475c94b9681e058abbdf/main.m3u8
第7集 我们的生活充满阳光,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/db33b8b940dc492c9aaf1e0d53d2aab8/main.m3u8
第8集 知识改变命运,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f025abea81484772af563055be685ec9/main.m3u8
第9集 集中力量办大事,http://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/098fb67a7bea4497aaccaa013d0738cc/main.m3u8
第10集 一枝一叶总关情,http://hls.cntv.baishancdnx.cn/asp/hls/main/0303000a/3/default/5e9b561fc21c4a988bd1e20b74273cf6/main.m3u8
第11集 百花齐放春满园,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/022218f899f149999f97e6105261faa5/main.m3u8
第12集 一个都不能少,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e9bcb0ede96d49118d66703e267003e1/main.m3u8
第一集 一声惊雷,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/c48a7d0d2a4e4d78aa60882dc0c25332/main.m3u8
第二集 岗上情深,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/539719f0bcd1406495d24311c35a2f13/main.m3u8
第三集 希望田野,http://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f98228a9def54dab9ce3967051202270/main.m3u8
第四集 振兴之路,http://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/ef1f7b67b37f431aa33f755b4c401fb2/main.m3u8
第五集 小岗大道,http://hls.cntv.myalicdn.com/asp/hls/main/0303000a/3/default/dd9c9b3b403a42ee820c2336225da506/main.m3u8
香港台湾,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰资讯台,http://124.232.231.246:6610/000000001001/201500000231/index.m3u8?&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=&m3u8_level=2&terminal_flag=0&ispcode=8#http://220.201.218.82:65530/live/fhzx/index.m3u8#http://liveali.ifeng.com/live/FHZX.m3u8#http://112.17.40.197:80/PLTV/88888888/224/3221226491/index.m3u8?icpid=88888888&from=30&hms_devid=1452,1481&online=1580892610&vqe=1#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰中文台,http://124.232.231.246:6610/000000001001/201500000230/index.m3u8?&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=&m3u8_level=2&terminal_flag=0&ispcode=8#http://220.201.218.82:65530/live/fhzw/index.m3u8#http://liveali.ifeng.com/live/FHZW.m3u8#http://112.17.40.139:80/PLTV/88888888/224/3221226368/index.m3u8?icpid=88888888&from=30&hms_devid=1452,1451&online=1580892662&vqe=1#http://liveali.ifeng.com/live/FHZW.flv
凤凰卫视香港台,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226120/1.m3u8
求索纪录,http://125.210.152.18:9090/live/QSJLHD_H265.m3u8
求索科学,http://125.210.152.18:9090/live/QSKX_1200.m3u8
求索动物,http://125.210.152.18:9090/live/QSDW_1200.m3u8
求索生活,http://125.210.152.18:9090/live/QSSH_1200.m3u8
翡翠台,http://hzyhjg.cc/cs/gat/fct.php
TVB J2,http://hzyhjg.cc/cs/gat/tvbj2.php#http://hzyhjg.cc/cs/gat/tvbj2-2.php
无线新闻,http://hzyhjg.cc/cs/gat/wxxw.php#http://hzyhjg.cc/cs/gat/wxxw-2.php
明珠台,http://hzyhjg.cc/cs/gat/mzt.php#http://hzyhjg.cc/cs/gat/mzt-2.php
viu tv,http://hzyhjg.cc/cs/gat/viu tv.php
无线财经,http://hzyhjg.cc/cs/gat/wxcjzx.php
有线新闻,http://hzyhjg.cc/cs/gat/yxxw.php
有线603,http://hzyhjg.cc/cs/gat/yx603.php
中天新闻,http://hzyhjg.cc/cs/gat/ztxw.php
东森新闻,http://hzyhjg.cc/cs/gat/dsxw.php
中视,http://hzyhjg.cc/cs/gat/zs.php
台视,http://hzyhjg.cc/cs/gat/ts.php
民视,http://hzyhjg.cc/cs/gat/ms.php
年代新闻,http://hzyhjg.cc/cs/gat/ndxw.php
非凡新闻,http://hzyhjg.cc/cs/gat/ffxw.php
三立台湾,http://hzyhjg.cc/cs/gat/sltwt.php
RHK31,http://hzyhjg.cc/cs/gat/rhk31.php
HBO HD,http://hzyhjg.cc/cs/gat/hbo.php
中视HD,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
华视CTS,http://104.250.154.42:8080/ZZ_huashi/ZZ_huashi.m3u8
年代新闻,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
中天综合,http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
翡翠台,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=188&amp;FvSeid=1&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;Provider_id=&amp;Pcontent_id=.m3u8
明珠台,http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=12?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=0&Pcontent_id=8114.m3u8&Fsv_CMSID=&Fsv_otype=1
星空卫视,http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=233&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
中天新闻,http://192.200.120.82:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中天亚洲台,http://192.200.120.82:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
东森新闻,http://192.200.120.82:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
中视无线,http://192.200.120.82:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
华视无线,http://192.200.120.82:8080/ZZ_huashi/ZZ_huashi.m3u8
中天综合,http://192.200.120.82:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB翡翠台,http://hzyhjg.cc/cs/gat/fct.php#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
明珠台,http://hzyhjg.cc/cs/gat/mzt.php#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
阳光卫视,http://121.31.30.90:8085/ysten-business/live/yangguangstv/yst.m3u8
台湾艺术,http://210.209.3.1/live/4715A9B3-B3CB-93DC-EDD6-CABCE3AFD3E3.m3u8?fmt=x264_500K_ts&cpid=admin&size=1280X720?dsjtv.m3u8
台灣藝術,http://210.209.3.1/live/4715A9B3-B3CB-93DC-EDD6-CABCE3AFD3E3.m3u8?fmt=x264_500K_ts&cpid=admin&size=1280X720
信吉电视,http://220.130.241.203:1935/sjtv/livestream/chunklist_w1048671923.m3u8
信吉电视,http://220.130.241.203:1935/sjtv/livestream_360p/playlist.m3u8
TVBS新闻,http://60.199.188.65/HLS/WG_TVBS-N/01.m3u8#http://60.199.188.65/HLS/WG_TVBS-N/02.m3u8#http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
三立新聞,http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8#http://60.199.188.65/HLS/WG_ETTV-N/01.m3u8#http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
